word;translation;example_sentence;transition_sentence
hour; Stunde; it's one hour; es ist eine Stunde
house; Haus; it's my house; es ist mein Haus
household; Haushalt; it's a household item; es ist ein Haushaltsgegenstand
housing; Wohnraum; it's a housing project; es ist ein Wohnungsbauprojekt
how; wie; how are you?; wie geht es dir?
however; jedoch; however, it's not true; jedoch ist es nicht wahr
huge; riesig; it's huge; es ist riesig
human; menschlich; it's a human being; es ist ein menschliches Wesen
humorous; humorvoll; it's humorous; es ist humorvoll
humour; Humor; it's good humour; es ist guter Humor
hundred; hundert; it's one hundred; es ist hundert
hungry; hungrig; I am hungry; ich bin hungrig
hunt; jagen; they hunt animals; sie jagen Tiere
hunting; Jagen; I like hunting; ich mag Jagen
hurricane; Hurrikan; it's a hurricane; es ist ein Hurrikan
hurry; beeilen; I have to hurry; ich muss mich beeilen
hurt; verletzen; I hurt myself; ich verletze mich
husband; Ehemann; he is my husband; er ist mein Ehemann
i; ich; I am here; ich bin hier
ice; Eis; it's ice; es ist Eis
ice cream; Eiscreme; I eat ice cream; ich esse Eiscreme
idea; Idee; it's a good idea; es ist eine gute Idee
ideal; ideal; it's ideal; es ist ideal
identify; identifizieren; they identify the person; sie identifizieren die Person
identity; Identität; what is your identity?; was ist deine Identität?
if; wenn; if you want; wenn du willst
ignore; ignorieren; they ignore me; sie ignorieren mich
ill; krank; I am ill; ich bin krank
illegal; illegal; it's illegal; es ist illegal
illness; Krankheit; it's a serious illness; es ist eine ernste Krankheit
illustrate; veranschaulichen; they illustrate the point; sie veranschaulichen den Punkt
illustration; Illustration; it's an illustration; es ist eine Illustration
image; Bild; it's a nice image; es ist ein schönes Bild
imaginary; imaginär; it's imaginary; es ist imaginär
imagination; Fantasie; it's from imagination; es ist aus Fantasie
imagine; vorstellen; imagine that; stell dir das vor
immediate; unmittelbar; it's an immediate response; es ist eine unmittelbare Antwort
immediately; sofort; I want it immediately; ich will es sofort
immigrant; Einwanderer; he is an immigrant; er ist ein Einwanderer
impact; Auswirkung; it has an impact; es hat eine Auswirkung
impatient; ungeduldig; I am impatient; ich bin ungeduldig
imply; andeuten; they imply that it's wrong; sie deuten an, dass es falsch ist
import; importieren; they import goods; sie importieren Güter
importance; Wichtigkeit; it's of great importance; es ist von großer Wichtigkeit
important; wichtig; it's important; es ist wichtig
impose; auferlegen; they impose a rule; sie erlegen eine Regel auf
impossible; unmöglich; it's impossible; es ist unmöglich
impress; beeindrucken; they impress me; sie beeindrucken mich
impressed; beeindruckt; I am impressed; ich bin beeindruckt
impression; Eindruck; it's a good impression; es ist ein guter Eindruck
impressive; beeindruckend; it's impressive; es ist beeindruckend
improve; verbessern; they improve the situation; sie verbessern die Situation
improvement; Verbesserung; it's an improvement; es ist eine Verbesserung
in; in; I am in the house; ich bin im Haus
inch; Zoll; it's an inch; es ist ein Zoll
incident; Vorfall; it's an incident; es ist ein Vorfall
include; beinhalten; it includes this; es beinhaltet das
included; inklusive; it's included; es ist inklusive
including; einschließlich; including me; einschließlich mich
income; Einkommen; what is your income?; was ist dein Einkommen?
increase; erhöhen; they increase the price; sie erhöhen den Preis
increasingly; zunehmend; it's increasingly important; es ist zunehmend wichtiger
incredible; unglaublich; it's incredible; es ist unglaublich
incredibly; unglaublich; it's incredibly beautiful; es ist unglaublich schön
indeed; tatsächlich; indeed, it's true; tatsächlich ist es wahr
independent; unabhängig; they are independent; sie sind unabhängig
indicate; anzeigen; they indicate the direction; sie zeigen die Richtung an
indirect; indirekt; it's an indirect way; es ist ein indirekter Weg
individual; individuell; it's an individual problem; es ist ein individuelles Problem
indoor; drinnen; it's an indoor game; es ist ein Spiel für drinnen
indoors; drinnen; let's stay indoors; lass uns drinnen bleiben
industrial; industriell; it's an industrial area; es ist ein Industriegebiet
industry; Industrie; the industry is growing; die Industrie wächst
infection; Infektion; it's an infection; es ist eine Infektion
influence; Einfluss; it's an influence; es ist ein Einfluss
inform; informieren; they inform me; sie informieren mich
informal; informell; it's an informal meeting; es ist ein informelles Treffen
information; Information; that's good information; das ist eine gute Information
ingredient; Zutat; it's an ingredient; es ist eine Zutat
initial; anfänglich; it's the initial stage; es ist die anfängliche Stufe
initially; anfänglich; initially, I was wrong; anfänglich war ich falsch
initiative; Initiative; it's a good initiative; es ist eine gute Initiative
injure; verletzen; they injure him; sie verletzen ihn
injured; verletzt; he is injured; er ist verletzt
injury; Verletzung; it's a serious injury; es ist eine ernste Verletzung
inner; inner; it's an inner peace; es ist ein innerer Frieden
innocent; unschuldig; he is innocent; er ist unschuldig
insect; Insekt; it's an insect; es ist ein Insekt
inside; innen; it's inside; es ist innen
insight; Einsicht; it's an insight; es ist eine Einsicht
insist; bestehen; they insist on it; sie bestehen darauf
inspire; inspirieren; they inspire me; sie inspirieren mich
install; installieren; they install the system; sie installieren das System
instance; Fall; in this instance; in diesem Fall
instead; stattdessen; instead of that; stattdessen von dem
institute; Institut; it's a research institute; es ist ein Forschungsinstitut
institution; Institution; it's a big institution; es ist eine große Institution
instruction; Anweisung; follow the instruction; folge der Anweisung
instructor; Ausbilder; he is the instructor; er ist der Ausbilder
instrument; Instrument; it's a musical instrument; es ist ein Musikinstrument
insurance; Versicherung; it's an insurance; es ist eine Versicherung
intelligence; Intelligenz; he has intelligence; er hat Intelligenz
intelligent; intelligent; he is intelligent; er ist intelligent
intend; beabsichtigen; they intend to go; sie beabsichtigen zu gehen
intended; beabsichtigt; it's the intended goal; es ist das beabsichtigte Ziel
intense; intensiv; it's an intense feeling; es ist ein intensives Gefühl
intention; Absicht; what is your intention?; was ist deine Absicht?
interest; Interesse; I have an interest; ich habe ein Interesse
interested; interessiert; I am interested; ich bin interessiert
interesting; interessant; it's interesting; es ist interessant
internal; intern; it's an internal matter; es ist eine interne Angelegenheit
international; international; it's an international event; es ist ein internationales Ereignis
internet; Internet; I use the internet; ich benutze das Internet
interpret; interpretieren; they interpret the text; sie interpretieren den Text
interrupt; unterbrechen; don't interrupt me; unterbrich mich nicht
interview; Interview; I have an interview; ich habe ein Interview
into; hinein; they go into the house; sie gehen hinein in das Haus
introduce; vorstellen; I introduce myself; ich stelle mich vor
introduction; Einführung; it's an introduction; es ist eine Einführung
invent; erfinden; they invent a machine; sie erfinden eine Maschine
invention; Erfindung; it's a great invention; es ist eine großartige Erfindung
invest; investieren; they invest money; sie investieren Geld
investigate; untersuchen; they investigate the problem; sie untersuchen das Problem
investigation; Untersuchung; it's an investigation; es ist eine Untersuchung
investment; Investition; it's a good investment; es ist eine gute Investition
invitation; Einladung; it's an invitation; es ist eine Einladung
invite; einladen; they invite me; sie laden mich ein
involve; einbeziehen; they involve everyone; sie beziehen jeden ein
involved; beteiligt; I am involved; ich bin beteiligt
iron; Eisen; it's made of iron; es ist aus Eisen gemacht
island; Insel; it's a small island; es ist eine kleine Insel
issue; Thema; it's a big issue; es ist ein großes Thema
it; es; it is here; es ist hier
item; Gegenstand; it's an item; es ist ein Gegenstand
its; sein; it's its goal; es ist sein Ziel
itself; es selbst; it does it itself; es macht es selbst
jacket; Jacke; I wear a jacket; ich trage eine Jacke
jam; Marmelade; I like jam; ich mag Marmelade
january; Januar; it's january; es ist Januar
jazz; Jazz; it's jazz music; es ist Jazzmusik
jeans; Jeans; I wear jeans; ich trage Jeans
jewellery; Schmuck; it's nice jewellery; es ist schöner Schmuck
job; Job; I have a job; ich habe einen Job
join; beitreten; they join the team; sie treten dem Team bei
joke; Witz; it's a joke; es ist ein Witz
journal; Journal; it's a journal; es ist ein Journal
journalist; Journalist; he is a journalist; er ist ein Journalist
journey; Reise; it's a long journey; es ist eine lange Reise
joy; Freude; it's joy; es ist Freude
judge; Richter; he is a judge; er ist ein Richter
judgement; Urteil; it's a judgement; es ist ein Urteil
juice; Saft; I drink juice; ich trinke Saft
july; Juli; it's july; es ist Juli
jump; springen; they jump high; sie springen hoch
june; Juni; it's june; es ist Juni
junior; Junior; he is a junior worker; er ist ein Juniorarbeiter
just; gerade; I just finished; ich habe gerade fertig
justice; Gerechtigkeit; it's about justice; es geht um Gerechtigkeit
justify; rechtfertigen; they justify the decision; sie rechtfertigen die Entscheidung
keen; begeistert; I am keen; ich bin begeistert
keep; behalten; they keep the money; sie behalten das Geld
key; Schlüssel; it's a key; es ist ein Schlüssel
keyboard; Tastatur; it's a keyboard; es ist eine Tastatur
kick; treten; they kick the ball; sie treten den Ball
kid; Kind; he is a kid; er ist ein Kind
kill; töten; they kill the animal; sie töten das Tier
killing; Tötung; it's a killing; es ist eine Tötung
kilometre; Kilometer; it's one kilometre; es ist ein Kilometer
kind; Art; what kind of problem?; welche Art von Problem?
king; König; he is the king; er ist der König
kiss; Kuss; it's a kiss; es ist ein Kuss
kitchen; Küche; it's the kitchen; es ist die Küche
knee; Knie; I hurt my knee; ich verletze mein Knie
knife; Messer; it's a knife; es ist ein Messer
knock; klopfen; they knock on the door; sie klopfen an die Tür
know; wissen; I know that; ich weiß das
knowledge; Wissen; I have knowledge; ich habe Wissen
lab; Labor; it's a lab; es ist ein Labor
label; Etikett; it's a label; es ist ein Etikett
laboratory; Labor; it's a laboratory; es ist ein Labor
labour; Arbeit; it's hard labour; es ist schwere Arbeit
lack; Mangel; there is a lack of water; da ist ein Mangel an Wasser
lady; Dame; she is a lady; sie ist eine Dame
lake; See; it's a big lake; es ist ein großer See
lamp; Lampe; it's a lamp; es ist eine Lampe
land; Land; it's a land; es ist ein Land
landscape; Landschaft; it's a nice landscape; es ist eine schöne Landschaft
language; Sprache; what is your language?; was ist deine Sprache?
laptop; Laptop; it's a laptop; es ist ein Laptop
large; groß; it's a large building; es ist ein großes Gebäude
largely; größtenteils; it's largely correct; es ist größtenteils richtig
last; letzte; it's the last one; es ist der letzte
late; spät; it's late; es ist spät
later; später; I'll come later; ich werde später kommen
latest; neueste; it's the latest news; es sind die neuesten Nachrichten
laugh; lachen; they laugh; sie lachen
laughter; Lachen; it's laughter; es ist Lachen
launch; starten; they launch a rocket; sie starten eine Rakete
law; Gesetz; it's the law; es ist das Gesetz
lawyer; Anwalt; he is a lawyer; er ist ein Anwalt
lay; legen; they lay the carpet; sie legen den Teppich
layer; Schicht; it's a layer; es ist eine Schicht
lazy; faul; he is lazy; er ist faul
lead; führen; they lead the group; sie führen die Gruppe
leader; Führer; he is the leader; er ist der Führer
leadership; Führung; it's good leadership; es ist eine gute Führung
leading; führend; it's the leading company; es ist das führende Unternehmen
leaf; Blatt; it's a leaf; es ist ein Blatt
league

59,8s
mach weiter

league; Liga; it's a sports league; es ist eine Sportliga
lean; lehnen; they lean on the wall; sie lehnen an der Wand
learn; lernen; I learn English; ich lerne Englisch
learning; Lernen; I like learning; ich mag Lernen
least; geringste; it's the least I can do; es ist das Geringste, was ich tun kann
leather; Leder; it's leather; es ist Leder
leave; verlassen; they leave the house; sie verlassen das Haus
lecture; Vorlesung; it's a lecture; es ist eine Vorlesung
left; links; it's on the left; es ist links
leg; Bein; I hurt my leg; ich verletze mein Bein
legal; legal; it's legal; es ist legal
leisure; Freizeit; it's for leisure; es ist für die Freizeit
lemon; Zitrone; it's a lemon; es ist eine Zitrone
lend; leihen; they lend me money; sie leihen mir Geld
length; Länge; what is the length?; was ist die Länge?
less; weniger; it's less; es ist weniger
lesson; Lektion; it's a lesson; es ist eine Lektion
let; lassen; let me do that; lass mich das tun
letter; Brief; it's a letter; es ist ein Brief
